field,dec,ring_hidden_rho,matched_shift_rho,n_patches
f00_ra156_p05,5.0,0.3768973699535061,0.11683971533687952,49
f01_ra132_m05,-5.0,0.6396591751870998,-0.11852343175876467,49
f02_ra144_p15,15.0,0.6242506188413629,0.18760682676581045,49
f03_ra036_m35,-35.0,0.6094897959183673,-0.26387755102040816,49
f04_ra180_m05,-5.0,0.2791836734693877,-0.03561224489795918,49
f05_ra276_m55,-55.0,0.0870408163265306,-0.06265306122448978,49
f06_ra072_m05,-5.0,0.5416326530612244,-0.08928571428571427,49
f07_ra216_m05,-5.0,0.4238775510204081,0.08622448979591836,49
f08_ra336_m25,-25.0,0.5449999999999999,-0.13459183673469385,49
f09_ra216_p15,15.0,0.4837368301785828,-0.02826602720376911,49
f10_ra240_m35,-35.0,0.8380612244897958,-0.1571428571428571,49
f11_ra060_m35,-35.0,0.5608163265306122,0.06204081632653061,49
f12_ra312_m05,-5.0,0.671530612244898,0.0360204081632653,49
f13_ra228_p05,5.0,0.591851833147512,-0.11275797855655185,49
f14_ra264_m05,-5.0,0.6375672850871819,-0.03387841527671965,49
f15_ra144_m25,-25.0,0.16397959183673466,-0.07683673469387756,49
f16_ra288_m25,-25.0,0.6585714285714285,-0.16020408163265304,49
f17_ra048_m15,-15.0,0.11887755102040816,0.09683673469387753,49
f18_ra096_m15,-15.0,0.29622448979591837,-0.12653061224489795,49
f19_ra132_p25,25.0,0.4870408163265306,0.11020408163265306,49
f20_ra120_p25,25.0,0.30741364395339477,0.07056482482780829,49
f21_ra084_p05,5.0,0.27122448979591834,-0.06510204081632652,49
f22_ra036_p05,5.0,0.6816326530612244,-0.19040816326530613,49
f23_ra012_m35,-35.0,0.2764285714285714,0.023877551020408165,49
f24_ra012_m55,-55.0,0.3574489795918367,-0.06520408163265307,49
f25_ra228_m35,-35.0,0.3180612244897959,-0.021428571428571425,49
f26_ra312_p05,5.0,0.2982729152224444,0.4346029236853885,49
f27_ra060_m05,-5.0,0.2978571428571428,0.26061224489795914,49
f28_ra192_p05,5.0,0.3866935382262925,0.059032118185488903,49
f29_ra312_m25,-25.0,0.33244897959183667,-0.22224489795918365,49
f30_ra000_m45,-45.0,0.4862244897959183,-0.058163265306122446,49
f31_ra132_p05,5.0,0.20082144959212134,0.24480216340015193,49
f32_ra024_m35,-35.0,0.4939795918367346,-0.28795918367346934,49
f33_ra348_p15,15.0,0.4246938775510204,-0.16193877551020408,49
f34_ra000_m15,-15.0,0.5818005563259551,-0.10092094189360161,49
f35_ra168_m25,-25.0,0.6777551020408162,-0.1737755102040816,49
f36_ra168_m45,-45.0,0.22755102040816325,-0.1193877551020408,49
f37_ra336_m55,-55.0,0.3144467972144927,-0.18918849976818747,49
f38_ra084_m05,-5.0,0.7754081632653061,0.1737755102040816,49
f39_ra084_m55,-55.0,0.41051020408163263,-0.17387755102040817,49
f40_ra192_m35,-35.0,0.45030612244897955,-0.13499999999999998,49
f41_ra348_m25,-25.0,0.33183673469387753,-0.1436734693877551,49
f42_ra252_m05,-5.0,0.11035995819810936,0.11464578181745341,49
f43_ra192_m05,-5.0,0.6338775510204081,0.07612244897959182,49
f44_ra240_m25,-25.0,0.36459183673469386,0.03510204081632653,49
f45_ra216_p05,5.0,0.5332653061224489,-0.18397959183673468,49
f46_ra000_p25,25.0,0.29643613367129695,-0.14964667470876314,49
f47_ra132_m15,-15.0,0.4342857142857142,-0.17867346938775508,49
